Id,SalePrice
1461,93431.92796530388
1462,143558.07891745318
1463,166836.61918527377
1464,172601.15682132042
1465,153413.7108586022
1466,153359.16538711474
1467,152277.98138419748
1468,133789.76741819247
1469,185818.88926382374
1470,94887.88475865021
1471,172943.24533619767
1472,66194.50723052898
1473,57162.16573164775
1474,105879.6512394693
1475,69672.92686117883
1476,281003.297965943
1477,203233.25600625877
1478,242892.81609608978
1479,235618.8232866804
1480,400132.99570374656
1481,277676.4733809753
1482,169887.25425843976
1483,160775.91329489416
1484,137471.31126780785
1485,154393.5293272495
1486,176619.28114735067
1487,269474.7416812817
1488,200779.56298062915
1489,160406.3162679075
1490,207232.73909534432
1491,192914.50656811276
1492,70663.86861184123
1493,180275.00364491332
1494,265703.4537775413
1495,258335.3312553754
1496,197894.05648522312
1497,152873.99018403736
1498,140134.78841071122
1499,129321.3269042999
1500,124122.6521640158
1501,172085.75169270777
1502,105698.25808252534
1503,245762.33018914168
1504,204019.6083786802
1505,188465.6826910457
1506,174203.14452690887
1507,245315.0379114726
1508,191789.8807096494
1509,140371.30792465422
1510,130760.38808171183
1511,128027.59523657302
1512,174425.1680820547
1513,131465.86063581565
1514,154963.76991618285
1515,201456.4436639247
1516,148848.0070241182
1517,166459.3321017006
1518,106425.00352605316
1519,214020.97296039108
1520,105736.97819049307
1521,113976.96339874947
1522,168113.5251571827
1523,84098.39442705037
1524,90827.01966669934
1525,84991.47965007182
1526,90130.88991673884
1527,64594.39217607654
1528,123262.5350066016
1529,114904.41961354576
1530,185885.2263355857
1531,101357.80313000223
1532,74156.21643303265
1533,133785.8620039404
1534,95078.14110332809
1535,146076.22001289623
1536,80529.98443910095
1537,36409.57044686598
1538,158391.71781741432
1539,198492.60694050556
1540,102854.15170765202
1541,120023.08221747482
1542,124295.8933085932
1543,173744.45227079967
1544,53692.682667384506
1545,94263.0925177976
1546,97661.96253870102
1547,118667.10811455199
1548,119425.84018936427
1549,96958.48630883056
1550,103943.20801725145
1551,99986.41418563807
1552,117401.12216460053
1553,142537.52785130264
1554,79397.54558383592
1555,157194.62558390782
1556,64795.921370437136
1557,92079.41916409321
1558,64448.82611967821
1559,74812.19917365478
1560,113557.6470764341
1561,127238.34876878327
1562,101968.37271555502
1563,91388.59444739879
1564,149963.3844998622
1565,115970.22411602235
1566,229763.4548551354
1567,42525.232287612045
1568,223955.85755687184
1569,104208.3328532119
1570,106011.09607550618
1571,83074.73253800254
1572,132702.01326648775
1573,242392.61257771938
1574,108797.95234763727
1575,239203.18661389418
1576,222341.16683186707
1577,156420.4194375159
1578,110521.79916892457
1579,125083.8931049722
1580,168278.04235788272
1581,124945.0319317804
1582,97400.39370059688
1583,271579.7895337172
1584,200931.99937918247
1585,134669.94575002824
1586,16314.43243083451
1587,60872.97289540351
1588,137847.1399490966
1589,82175.71977070707
1590,111130.02721983031
1591,60865.5961009491
1592,88196.49684659368
