Id,SalePrice
1461,119683.56
1462,151476.8
1463,184702.47
1464,186366.5
1465,196703.31
1466,174607.69
1467,165434.39
1468,165783.5
1469,172845.9
1470,123542.97
1471,206344.36
1472,91517.92
1473,102757.984
1474,158303.81
1475,128067.92
1476,377928.94
1477,246499.53
1478,294039.2
1479,253813.67
1480,505133.03
1481,313927.75
1482,202575.11
1483,176040.5
1484,176911.81
1485,172262.58
1486,195542.69
1487,308695.34
1488,225165.72
1489,195803.14
1490,194091.45
1491,182214.64
1492,89277.12
1493,181055.86
1494,294620.12
1495,275427.8
1496,226344.14
1497,168315.7
1498,144084.84
1499,146816.55
1500,149234.97
1501,170738.22
1502,153682.98
1503,285754.12
1504,222673.2
1505,219760.28
1506,178441.45
1507,224204.06
1508,189409.36
1509,167983.22
1510,143424.06
1511,135361.7
1512,167952.44
1513,143871.89
1514,160913.86
1515,183150.42
1516,151182.08
1517,165886.23
1518,128669.12
1519,211441.22
1520,129473.51
1521,131245.89
1522,152217.42
1523,108994.44
1524,105431.336
1525,115732.984
1526,119709.164
1527,88394.195
1528,122490.4
1529,144768.33
1530,171816.42
1531,125857.87
1532,107558.06
1533,143453.58
1534,111081.586
1535,160012.14
1536,111579.695
1537,73958.34
1538,175602.11
1539,231132.72
1540,114292.93
1541,145958.61
1542,141171.33
1543,230486.81
1544,84145.91
1545,106671.12
1546,124708.96
1547,147653.83
1548,133407.77
1549,100764.7
1550,141536.77
1551,110698.59
1552,127143.11
1553,154080.0
1554,112017.84
1555,170145.42
1556,94270.27
1557,113156.7
1558,95708.945
1559,104170.555
1560,141651.88
1561,146167.6
1562,118756.0
1563,116013.31
1564,153404.77
1565,133526.83
1566,241891.9
1567,70476.66
1568,224538.0
1569,152222.6
1570,132935.33
1571,133581.5
1572,144232.73
1573,250092.1
1574,126507.81
1575,209625.69
1576,217879.08
1577,204128.36
1578,149895.97
1579,143105.11
1580,192891.72
1581,159230.73
1582,134546.33
1583,310606.9
1584,231654.53
1585,144962.61
1586,69859.445
1587,91275.39
1588,161774.9
1589,91983.18
1590,143899.78
1591,101844.69
1592,116969.195
1593,121089.29
1594,144965.86
1595,119776.05
1596,235246.69
1597,169641.8
1598,204732.95
1599,194173.72
1600,182577.48
1601,66766.234
1602,99850.46
1603,85286.64
1604,276936.84
1605,239537.94
1606,162279.77
1607,149626.47
1608,199583.58
1609,202115.6
1610,161086.94
1611,129120.72
1612,167611.5
1613,154136.28
1614,118895.11
1615,101404.56
1616,90571.92
1617,94555.4
1618,119686.13
1619,134667.9
1620,153729.14
1621,129014.4
1622,143825.31
1623,278464.4
1624,205933.64
1625,123600.67
